ref_date,geography,industry,data_type,value
2020-12-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2892.4
2020-12-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,958.1
2020-12-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1641.3
2020-12-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2453.3
2020-12-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,1036.1
2020-12-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,7288.2
2020-12-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,552.5
2020-12-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,802.3
2020-12-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,1112.2
2020-12-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,338.6
2020-12-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,732
2020-12-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,873.8
2020-12-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,394.1
2020-12-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2172.2
2020-12-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,214.3
2020-12-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,125
2020-12-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,335.2
2020-12-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,131.3
2020-12-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,174.2
2020-12-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,299.3
2020-12-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,102.3
2021-01-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,18392.1
2021-01-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1466
2021-01-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1756.4
2021-01-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2709.3
2021-01-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,964.2
2021-01-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1668.2
2021-01-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2465.2
2021-01-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,1043.4
2021-01-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,7112.7
2021-01-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,543
2021-01-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,795.2
2021-01-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,1021
2021-01-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,343.8
2021-01-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,741.4
2021-01-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,876.9
2021-01-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,394.8
2021-01-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2186.9
2021-01-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,222.6
2021-01-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,121
2021-01-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,336.8
2021-01-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,131.9
2021-01-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,183.9
2021-01-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,300.5
2021-01-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,101
2021-02-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,18632
2021-02-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1454.8
2021-02-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1763.8
2021-02-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2824.4
2021-02-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,997
2021-02-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1653.7
